#category_i—_一级类目	category_i_二级类目	category_j_一级类目	category_j_二级类目	similarity 
实物电商	零售电商	生活服务	本地零售	0.8
实物电商	零售电商	生活服务	餐饮	0.8
实物电商	零售电商	生活服务	其他本地生活	0.8
实物电商	零售电商	社区/社交	社区/社交	0.6
实物电商	零售电商	旅游	旅游	0.4
实物电商	零售电商	体育健身	体育消费品	0.8
B2B	B2B	金融	金融机构服务	0.8
B2B	B2B	金融	基础设施	0.8
B2B	B2B	金融	企业债权	0.8
B2B	B2B	企业服务	业务层-通用型	0.8
B2B	B2B	企业服务	业务层-垂直型	0.8
B2B	B2B	汽车	后服务	0.6
B2B	B2B	汽车	周边电商	0.6
B2B	B2B	汽车	二手车	0.6
B2B	B2B	汽车	新车	0.6
B2B	B2B	房产	房产	0.6
B2B	B2B	农业	农业产前	0.8
B2B	B2B	农业	农业产后	0.8
B2B	B2B	农业	全产业链	0.8
生活服务	餐饮	实物电商	零售电商	0.8
生活服务	本地零售	实物电商	零售电商	0.8
生活服务	本地零售	社区/社交	社区/社交	0.6
生活服务	本地零售	体育健身	体育消费品	0.6
生活服务	其他本地生活	文娱内容游戏	文娱内容媒体	0.6
生活服务	其他本地生活	体育健身	运动健身	0.6
生活服务	其他本地生活	教育培训	K12	0.6
生活服务	其他本地生活	教育培训	兴趣	0.6
生活服务	其他本地生活	教育培训	职业技能培训	0.6
生活服务	其他本地生活	教育培训	留学服务	0.4
生活服务	其他本地生活	汽车	后服务	0.4
生活服务	其他本地生活	旅游	旅游	0.4
交通物流仓储	物流	企业服务	业务层-垂直型	0.6
文娱内容游戏	文娱内容媒体	社区/社交	社区/社交	0.6
文娱内容游戏	文娱内容媒体	生活服务	其他本地生活	0.6
文娱内容游戏	游戏	社区/社交	社区/社交	0.6
体育健身	体育赛事	文娱内容游戏	文娱内容媒体	0.8
体育健身	体育消费品	实物电商	零售电商	0.8
体育健身	电竞	文娱内容游戏	游戏	0.8
体育健身	运动健身	生活服务	其他本地生活	0.6
体育健身	第三方服务	企业服务	业务层-垂直型	0.8
体育健身	第三方服务	企业服务	业务层-通用型	0.6
企业服务	业务层-垂直型	金融	金融机构服务	0.8
企业服务	业务层-垂直型	金融	基础设施	0.6
企业服务	业务层-垂直型	农业	农业产中	0.8
企业服务	业务层-垂直型	体育健身	第三方服务	0.8
企业服务	业务层-垂直型	交通物流仓储	物流	0.6
企业服务	业务层-垂直型	交通物流仓储	仓储	0.6
企业服务	开发者服务	工具类	工具类	0.8
企业服务	业务层-通用型	工具类	工具类	0.8
社区/社交	社区/社交	文娱内容游戏	文娱内容媒体	0.8
社区/社交	社区/社交	文娱内容游戏	游戏	0.6
社区/社交	社区/社交	生活服务	其他本地生活	0.6
金融	企业债权	企业服务	业务层-通用型	0.8
金融	企业债权	企业服务	业务层-垂直型	0.8
金融	企业债权	B2B	B2B	0.8
金融	个人债权	汽车	二手车	0.8
金融	个人债权	汽车	新车	0.8
金融	个人债权	房产	房产	0.8
金融	股权	社区/社交	社区/社交	0.4
金融	理财	工具类	工具类	0.6
金融	保险	工具类	工具类	0.4
